verb,noun,tag,confidence
underlie,matter,L,0.1
underlie,union,L,0.1
underlie,grade,L,0.1
underlie,topic,L,0.1
underlie,producer,L,0.1
underlie,system,L,0.1
underlie,program,L,0.1
underlie,architecture,L,0.1
underlie,technology,L,0.1
underlie,forehead,L,0.1
underlie,cheek,L,0.1
underlie,palm,L,0.1
underlie,maker,L,0.1
underlie,senses,L,0.1
underlie,promise,L,0.1
underlie,courage,L,0.1
underlie,unity,L,0.1
underlie,peace,L,0.1
underlie,pride,L,0.1
underlie,hope,L,0.1
underlie,memory,L,0.1
underlie,love,L,0.1
underlie,sleep,L,0.1
underlie,product,L,0.1
underlie,version,L,0.1
underlie,vote,L,0.1
underlie,airline,L,0.1
underlie,north,L,0.1
underlie,organiser,L,0.1
underlie,firm,L,0.1
underlie,trace,L,0.1
underlie,array,L,0.1
underlie,minimum,L,0.1
underlie,employer,L,0.1
underlie,equivalent,L,0.1
underlie,package,L,0.1
underlie,chip,L,0.1
underlie,processor,L,0.1
underlie,network,L,0.1
underlie,computer,L,0.1
underlie,tool,L,0.1
underlie,software,L,0.1
underlie,interface,L,0.1
underlie,bank,L,0.1
underlie,company,L,0.1
underlie,virtue,L,0.1
underlie,silence,L,0.1
underlie,spirit,L,0.1
underlie,beauty,L,0.1
underlie,inspection,L,0.1
underlie,check,L,0.1
underlie,fellow,L,0.1
underlie,jesus,L,0.1
underlie,ideology,L,0.1
underlie,idea,L,0.1
underlie,myth,L,0.1
underlie,doctrine,L,0.1
underlie,master,L,0.1
underlie,heaven,L,0.1
underlie,belief,L,0.1
underlie,hearing,L,0.1
underlie,trial,L,0.1
underlie,priest,L,0.1
underlie,emperor,L,0.1
underlie,ideal,L,0.1
underlie,shareholder,L,0.1
underlie,bishop,L,0.1
underlie,lord,L,0.1
underlie,test,L,0.1
underlie,south,L,0.1
underlie,interview,L,0.1
underlie,harry,L,0.1
underlie,ambition,L,0.1
underlie,faith,L,0.1
underlie,glory,L,0.1
underlie,dream,L,0.1
underlie,philosophy,L,0.1
underlie,notion,L,0.1
underlie,principle,L,0.1
underlie,painting,L,0.1
underlie,picture,L,0.1
underlie,drawing,L,0.1
underlie,statue,L,0.1
underlie,poster,L,0.1
underlie,photograph,L,0.1
underlie,portrait,L,0.1
underlie,nigel,L,0.1
underlie,jack,L,0.1
underlie,jane,L,0.1
underlie,maggie,L,0.1
underlie,print,L,0.1
underlie,anne,L,0.1
underlie,dancer,L,0.1
underlie,west,L,0.1
underlie,east,L,0.1
underlie,universe,L,0.1
underlie,gulf,L,0.1
underlie,valley,L,0.1
underlie,summer,L,0.1
underlie,february,L,0.1
underlie,countryside,L,0.1
underlie,winter,L,0.1
underlie,world,L,0.1
underlie,face,L,0.1
underlie,stretch,L,0.1
underlie,dividend,L,0.1
underlie,price,L,0.1
underlie,rate,L,0.1
underlie,premium,L,0.1
underlie,rent,L,0.1
underlie,rating,L,0.1
underlie,salary,L,0.1
underlie,difficulty,L,0.1
underlie,border,L,0.1
underlie,nose,L,0.1
underlie,wire,L,0.1
underlie,thread,L,0.1
underlie,chain,L,0.1
underlie,belt,L,0.1
underlie,knot,L,0.1
underlie,ring,L,0.1
underlie,poll,L,0.1
underlie,referendum,L,0.1
underlie,autumn,L,0.1
underlie,spring,L,0.1
underlie,weekend,L,0.1
underlie,continent,L,0.1
underlie,planet,L,0.1
underlie,shore,L,0.1
underlie,depths,L,0.1
underlie,island,L,0.1
underlie,beach,L,0.1
underlie,landscape,L,0.1
underlie,coast,L,0.1
underlie,channel,L,0.1
underlie,thigh,L,0.1
underlie,barrier,L,0.1
underlie,danger,L,0.1
underlie,challenge,L,0.1
underlie,gaze,L,0.1
underlie,wages,L,0.1
underlie,election,L,0.1
underlie,responsibility,L,0.1
underlie,duty,L,0.1
underlie,manufacturer,L,0.1
underlie,publisher,L,0.1
underlie,improvement,L,0.1
underlie,change,L,0.1
underlie,rise,L,0.1
underlie,increase,L,0.1
underlie,shift,L,0.1
underlie,reduction,L,0.1
underlie,lunch,L,0.1
underlie,dinner,L,0.1
underlie,breakfast,L,0.1
underlie,meal,L,0.1
underlie,corporation,L,0.1
underlie,collector,L,0.1
underlie,supplier,L,0.1
underlie,hint,L,0.1
underlie,forward,L,0.1
underlie,joke,L,0.1
underlie,developer,L,0.1
underlie,look,L,0.1
underlie,cable,L,0.1
underlie,glance,L,0.1
underlie,dilemma,L,0.1
underlie,obstacle,L,0.1
underlie,hook,L,0.1
underlie,rope,L,0.1
underlie,problem,L,0.1
underlie,crisis,L,0.1
underlie,threat,L,0.1
underlie,constituency,L,0.1
underlie,touch,L,0.1
underlie,plenty,L,0.1
underlie,owner,L,0.1
underlie,liability,L,0.1
underlie,obligation,L,0.1
underlie,treasury,L,0.1
underlie,operator,L,0.1
underlie,gesture,L,0.1
underlie,dealer,L,0.1
underlie,track,L,0.1
underlie,actor,L,0.1
underlie,surgery,L,0.1
underlie,motive,L,0.1
underlie,trail,L,0.1
underlie,lane,L,0.1
underlie,record,L,0.1
underlie,register,L,0.1
underlie,text,L,0.1
underlie,schedule,L,0.1
underlie,questionnaire,L,0.1
underlie,self,L,0.1
underlie,database,L,0.1
underlie,protocol,L,0.1
underlie,convention,L,0.1
underlie,deal,L,0.1
underlie,contract,L,0.1
underlie,agreement,L,0.1
underlie,treaty,L,0.1
underlie,lifespan,L,0.1
underlie,list,L,0.1
underlie,route,L,0.1
underlie,origin,L,0.1
underlie,reality,L,0.1
underlie,meaning,L,0.1
underlie,path,L,0.1
underlie,truth,L,0.1
underlie,secret,L,0.1
underlie,cause,L,0.1
underlie,identity,L,0.1
underlie,comment,L,0.1
underlie,file,L,0.1
underlie,oxford,L,0.1
underlie,paris,L,0.1
underlie,washington,L,0.1
underlie,rome,L,0.1
underlie,kong,L,0.1
underlie,london,L,0.1
underlie,york,L,0.1
underlie,moscow,L,0.1
underlie,concept,L,0.1
underlie,module,L,0.1
underlie,menu,L,0.1
underlie,tradition,L,0.1
underlie,mood,L,0.1
underlie,taste,L,0.1
underlie,vision,L,0.1
underlie,image,L,0.1
underlie,custom,L,0.1
underlie,offer,L,0.1
underlie,remark,L,0.1
underlie,conception,L,0.1
underlie,view,L,0.1
underlie,citizen,L,0.1
underlie,wrist,L,0.1
underlie,neck,L,0.1
underlie,waist,L,0.1
underlie,ankle,L,0.1
underlie,sword,L,0.1
underlie,stick,L,0.1
underlie,blade,L,0.1
underlie,knife,L,0.1
underlie,horn,L,0.1
underlie,weapon,L,0.1
underlie,handle,L,0.1
underlie,james,L,0.1
underlie,question,L,0.1
underlie,signal,L,0.1
underlie,roll,L,0.1
underlie,thousand,L,0.1
underlie,command,L,0.1
underlie,flavour,L,0.1
underlie,impression,L,0.1
underlie,atmosphere,L,0.1
underlie,sense,L,0.1
underlie,mark,L,0.1
underlie,goal,L,0.1
underlie,headline,L,0.1
underlie,summit,L,0.1
underlie,appearance,L,0.1
underlie,cross,L,0.1
underlie,maximum,L,0.1
underlie,stop,L,0.1
underlie,green,L,0.1
underlie,point,L,0.1
underlie,peak,L,0.1
underlie,draw,L,0.1
underlie,target,L,0.1
underlie,diana,L,0.1
underlie,warning,L,0.1
underlie,invitation,L,0.1
underlie,review,L,0.1
underlie,diary,L,0.1
underlie,philip,L,0.1
underlie,decision,L,0.1
underlie,recommendation,L,0.1
underlie,judgment,L,0.1
underlie,conviction,L,0.1
underlie,judgement,L,0.1
underlie,order,L,0.1
underlie,reader,L,0.1
underlie,consumer,L,0.1
underlie,possibility,L,0.1
underlie,user,L,0.1
underlie,verdict,L,0.1
underlie,conclusion,L,0.1
underlie,scope,L,0.1
underlie,choice,L,0.1
underlie,coverage,L,0.1
underlie,buyer,L,0.1
underlie,public,L,0.1
underlie,customer,L,0.1
underlie,will,L,0.1
underlie,panel,L,0.1
underlie,line,L,0.1
underlie,body,L,0.1
underlie,arrangement,L,0.1
underlie,policy,L,0.1
underlie,measure,L,0.1
underlie,reform,L,0.1
underlie,proposal,L,0.1
underlie,branch,L,0.1
underlie,rail,L,0.1
underlie,examination,L,0.1
underlie,wing,L,0.1
underlie,project,L,0.1
underlie,programme,L,0.1
underlie,fist,L,0.1
underlie,frame,L,0.1
underlie,scheme,L,0.1
underlie,plan,L,0.1
underlie,course,L,0.1
underlie,opinion,L,0.1
underlie,pole,L,0.1
underlie,head,L,0.1
underlie,client,L,0.1
underlie,angel,L,0.1
underlie,ghost,L,0.1
underlie,witness,L,0.1
underlie,provision,L,0.1
underlie,road,L,0.1
underlie,availability,L,0.1
underlie,membership,L,0.1
underlie,horizon,L,0.1
underlie,selection,L,0.1
underlie,focus,L,0.1
underlie,definition,L,0.1
underlie,request,L,0.1
underlie,call,L,0.1
underlie,reply,L,0.1
underlie,instruction,L,0.1
underlie,message,L,0.1
underlie,catalogue,L,0.1
underlie,susan,L,0.1
underlie,marie,L,0.1
underlie,mungo,L,0.1
underlie,emily,L,0.1
underlie,chart,L,0.1
underlie,curve,L,0.1
underlie,news,L,0.1
underlie,profile,L,0.1
underlie,representation,L,0.1
underlie,pope,L,0.1
underlie,host,L,0.1
underlie,artist,L,0.1
underlie,tory,L,0.1
underlie,score,L,0.1
underlie,plot,L,0.1
underlie,formula,L,0.1
underlie,hitler,L,0.1
underlie,christ,L,0.1
underlie,parameter,L,0.1
underlie,equation,L,0.1
underlie,investor,L,0.1
underlie,advertising,L,0.1
underlie,allocation,L,0.1
underlie,estimate,L,0.1
underlie,spectrum,L,0.1
underlie,labour,L,0.1
underlie,conservative,L,0.1
underlie,democrat,L,0.1
underlie,tunnel,L,0.1
underlie,power,L,0.1
underlie,journey,L,0.1
underlie,stitch,L,0.1
underlie,round,L,0.1
underlie,race,L,0.1
underlie,tale,L,0.1
underlie,combination,L,0.1
underlie,story,L,0.1
underlie,history,L,0.1
underlie,sample,L,0.1
underlie,match,L,0.1
underlie,competition,L,0.1
underlie,game,L,0.1
underlie,event,L,0.1
underlie,example,L,0.1
underlie,sequence,L,0.1
underlie,material,L,0.1
underlie,stimulus,L,0.1
underlie,information,L,0.1
underlie,contest,L,0.1
underlie,clerk,L,0.1
underlie,item,L,0.1
underlie,final,L,0.1
underlie,league,L,0.1
underlie,instance,L,0.1
underlie,tone,L,0.1
underlie,level,L,0.1
underlie,scale,L,0.1
underlie,university,L,0.1
underlie,college,L,0.1
underlie,championship,L,0.1
underlie,while,L,0.1
underlie,seconds,L,0.1
underlie,glimpse,L,0.1
underlie,sight,L,0.1
underlie,datum,L,0.1
underlie,count,L,0.1
underlie,turn,L,0.1
underlie,second,L,0.1
underlie,open,L,0.1
underlie,specimen,L,0.1
underlie,signature,L,0.1
underlie,noise,L,0.1
underlie,voice,L,0.1
underlie,sound,L,0.1
underlie,tournament,L,0.1
underlie,moment,L,0.1
underlie,frequency,L,0.1
underlie,commissioner,L,0.1
underlie,ratio,L,0.1
underlie,governor,L,0.1
underlie,alarm,L,0.1
underlie,bell,L,0.1
underlie,laugh,L,0.1
underlie,minister,L,0.1
underlie,executive,L,0.1
underlie,trade,L,0.1
underlie,assistant,L,0.1
underlie,chairman,L,0.1
underlie,director,L,0.1
underlie,editor,L,0.1
underlie,invasion,L,0.1
underlie,assault,L,0.1
underlie,attempt,L,0.1
underlie,raid,L,0.1
underlie,dollar,L,0.1
underlie,cash,L,0.1
underlie,money,L,0.1
underlie,business,L,0.1
underlie,industry,L,0.1
underlie,agent,L,0.1
underlie,depth,L,0.1
underlie,commander,L,0.1
underlie,chief,L,0.1
underlie,size,L,0.1
underlie,contents,L,0.1
underlie,detail,L,0.1
underlie,trustee,L,0.1
underlie,pound,L,0.1
underlie,episode,L,0.1
underlie,object,L,0.1
underlie,cycle,L,0.1
underlie,penny,L,0.1
underlie,auditor,L,0.1
underlie,scene,L,0.1
underlie,pound,L,0.1
underlie,adviser,L,0.1
underlie,consultant,L,0.1
underlie,servant,L,0.1
underlie,justice,L,0.1
underlie,president,L,0.1
underlie,secretary,L,0.1
underlie,leader,L,0.1
underlie,ambassador,L,0.1
underlie,concentration,L,0.1
underlie,intensity,L,0.1
underlie,incidence,L,0.1
underlie,temperature,L,0.1
underlie,import,L,0.1
underlie,export,L,0.1
underlie,production,L,0.1
underlie,consumption,L,0.1
underlie,mystery,L,0.1
underlie,interpretation,L,0.1
underlie,trouble,L,0.1
underlie,traffic,L,0.1
underlie,input,L,0.1
underlie,dust,L,0.1
underlie,spread,L,0.1
underlie,output,L,0.1
underlie,flow,L,0.1
underlie,angle,L,0.1
underlie,fig.,L,0.1
underlie,pace,L,0.1
underlie,margin,L,0.1
underlie,ease,L,0.1
underlie,speed,L,0.1
underlie,direction,L,0.1
underlie,supply,L,0.1
underlie,pitch,L,0.1
underlie,model,L,0.1
underlie,supplies,L,0.1
underlie,page,L,0.1
underlie,column,L,0.1
underlie,essay,L,0.1
underlie,failure,L,0.1
underlie,existence,L,0.1
underlie,lack,L,0.1
underlie,necessity,L,0.1
underlie,presence,L,0.1
underlie,refusal,L,0.1
underlie,sale,L,0.1
underlie,absence,L,0.1
underlie,historian,L,0.1
underlie,employment,L,0.1
underlie,argument,L,0.1
underlie,observer,L,0.1
underlie,investment,L,0.1
underlie,assumption,L,0.1
underlie,thesis,L,0.1
underlie,proposition,L,0.1
underlie,growth,L,0.1
underlie,fact,L,0.1
underlie,economy,L,0.1
underlie,height,L,0.1
underlie,darkness,L,0.1
underlie,struggle,L,0.1
underlie,fight,L,0.1
underlie,clash,L,0.1
underlie,violence,L,0.1
underlie,conflict,L,0.1
underlie,imagination,L,0.1
underlie,breath,L,0.1
underlie,hold,L,0.1
underlie,grip,L,0.1
underlie,controversy,L,0.1
underlie,prey,L,0.1
underlie,drink,L,0.1
underlie,coffee,L,0.1
underlie,champagne,L,0.1
underlie,pint,L,0.1
underlie,wine,L,0.1
underlie,beer,L,0.1
underlie,school,L,0.1
underlie,laboratory,L,0.1
underlie,institute,L,0.1
underlie,lift,L,0.1
underlie,mist,L,0.1
underlie,scandal,L,0.1
underlie,speculation,L,0.1
underlie,smell,L,0.1
underlie,shadow,L,0.1
underlie,smoke,L,0.1
underlie,sigh,L,0.1
underlie,cloud,L,0.1
underlie,scent,L,0.1
underlie,hypothesis,L,0.1
underlie,logic,L,0.1
underlie,theory,L,0.1
underlie,confusion,L,0.1
underlie,dispute,L,0.1
underlie,fighting,L,0.1
underlie,rumour,L,0.1
underlie,manager,L,0.1
underlie,personnel,L,0.1
underlie,member,L,0.1
underlie,employee,L,0.1
underlie,publicity,L,0.1
underlie,uncertainty,L,0.1
underlie,chaos,L,0.1
underlie,battle,L,0.1
underlie,section,L,0.1
underlie,market,L,0.1
underlie,sector,L,0.1
underlie,apartment,L,0.1
underlie,villa,L,0.1
underlie,flat,L,0.1
underlie,panic,L,0.1
underlie,excitement,L,0.1
underlie,hotel,L,0.1
underlie,consideration,L,0.1
underlie,figure,L,0.1
underlie,measurement,L,0.1
underlie,result,L,0.1
underlie,comparison,L,0.1
underlie,observation,L,0.1
underlie,harm,L,0.1
underlie,anniversary,L,0.1
underlie,house,L,0.1
underlie,kelly,L,0.1
underlie,henry,L,0.1
underlie,graham,L,0.1
underlie,charlie,L,0.1
underlie,farm,L,0.1
underlie,premise,L,0.1
underlie,staff,L,0.1
underlie,finding,L,0.1
underlie,teacher,L,0.1
underlie,worker,L,0.1
underlie,advice,L,0.1
underlie,help,L,0.1
underlie,volunteer,L,0.1
underlie,guidance,L,0.1
underlie,support,L,0.1
underlie,assistance,L,0.1
underlie,jacket,L,0.1
underlie,paul,L,0.1
underlie,glove,L,0.1
underlie,boot,L,0.1
underlie,shirt,L,0.1
underlie,coat,L,0.1
underlie,calculation,L,0.1
underlie,statistics,L,0.1
underlie,evidence,L,0.1
underlie,injury,L,0.1
underlie,damage,L,0.1
underlie,birthday,L,0.1
underlie,shoe,L,0.1
underlie,captain,L,0.1
underlie,lucy,L,0.1
underlie,michael,L,0.1
underlie,nature,L,0.1
underlie,perception,L,0.1
underlie,composition,L,0.1
underlie,attitude,L,0.1
underlie,management,L,0.1
underlie,delivery,L,0.1
underlie,teaching,L,0.1
underlie,training,L,0.1
underlie,accommodation,L,0.1
underlie,distribution,L,0.1
underlie,maintenance,L,0.1
underlie,service,L,0.1
underlie,care,L,0.1
underlie,protection,L,0.1
underlie,facility,L,0.1
underlie,communication,L,0.1
underlie,housing,L,0.1
underlie,treatment,L,0.1
underlie,education,L,0.1
underlie,planning,L,0.1
underlie,transport,L,0.1
underlie,kitchen,L,0.1
underlie,content,L,0.1
underlie,character,L,0.1
underlie,simon,L,0.1
underlie,peter,L,0.1
underlie,tony,L,0.1
underlie,sergeant,L,0.1
underlie,luke,L,0.1
underlie,howard,L,0.1
underlie,robert,L,0.1
underlie,francis,L,0.1
underlie,home,L,0.1
underlie,structure,L,0.1
underlie,cottage,L,0.1
underlie,interior,L,0.1
underlie,corridor,L,0.1
underlie,room,L,0.1
underlie,rage,L,0.1
underlie,john,L,0.1
underlie,david,L,0.1
underlie,george,L,0.1
underlie,joseph,L,0.1
underlie,personality,L,0.1
underlie,cupboard,L,0.1
underlie,bedroom,L,0.1
underlie,hall,L,0.1
underlie,bathroom,L,0.1
underlie,evening,L,0.1
underlie,time,L,0.1
underlie,breach,L,0.1
underlie,crime,L,0.1
underlie,hour,L,0.1
underlie,morning,L,0.1
underlie,night,L,0.1
underlie,minute,L,0.1
underlie,couple,L,0.1
underlie,afternoon,L,0.1
underlie,building,L,0.1
underlie,laughter,L,0.1
underlie,flame,L,0.1
underlie,terror,L,0.1
underlie,audience,L,0.1
underlie,delegation,L,0.1
underlie,spot,L,0.1
underlie,tent,L,0.1
underlie,crack,L,0.1
underlie,stand,L,0.1
underlie,cathedral,L,0.1
underlie,post,L,0.1
underlie,fate,L,0.1
underlie,disaster,L,0.1
underlie,action,L,0.1
underlie,dollar,L,0.1
underlie,million,L,0.1
underlie,protest,L,0.1
underlie,revolution,L,0.1
underlie,defeat,L,0.1
underlie,fall,L,0.1
underlie,attack,L,0.1
underlie,intervention,L,0.1
underlie,destruction,L,0.1
underlie,strike,L,0.1
underlie,tragedy,L,0.1
underlie,abuse,L,0.1
underlie,suicide,L,0.1
underlie,killing,L,0.1
underlie,offence,L,0.1
underlie,murder,L,0.1
underlie,loss,L,0.1
underlie,collapse,L,0.1
underlie,decline,L,0.1
underlie,death,L,0.1
underlie,enterprise,L,0.1
underlie,place,L,0.1
underlie,nest,L,0.1
underlie,hole,L,0.1
underlie,position,L,0.1
underlie,wicket,L,0.1
underlie,trap,L,0.1
underlie,castle,L,0.1
underlie,temple,L,0.1
underlie,village,L,0.1
underlie,lead,L,0.1
underlie,capital,L,0.1
underlie,tourist,L,0.1
underlie,resource,L,0.1
underlie,wealth,L,0.1
underlie,reserve,L,0.1
underlie,energy,L,0.1
underlie,explosion,L,0.1
underlie,fund,L,0.1
underlie,accident,L,0.1
underlie,crash,L,0.1
underlie,incident,L,0.1
underlie,chamber,L,0.1
underlie,attention,L,0.1
underlie,cover,L,0.1
underlie,traveller,L,0.1
underlie,pocket,L,0.1
underlie,space,L,0.1
underlie,colleague,L,0.1
underlie,tower,L,0.1
underlie,city,L,0.1
underlie,anger,L,0.1
underlie,companion,L,0.1
underlie,photographer,L,0.1
underlie,chapel,L,0.1
underlie,church,L,0.1
underlie,seat,L,0.1
underlie,palace,L,0.1
underlie,visitor,L,0.1
underlie,stranger,L,0.1
underlie,lady,L,0.1
underlie,crowd,L,0.1
underlie,passenger,L,0.1
underlie,guest,L,0.1
underlie,viewer,L,0.1
underlie,neighbour,L,0.1
underlie,shelter,L,0.1
underlie,town,L,0.1
underlie,complaint,L,0.1
underlie,scholar,L,0.1
underlie,paragraph,L,0.1
underlie,contribution,L,0.1
underlie,progress,L,0.1
underlie,performance,L,0.1
underlie,conduct,L,0.1
underlie,achievement,L,0.1
underlie,missile,L,0.1
underlie,answer,L,0.1
underlie,journal,L,0.1
underlie,reaction,L,0.1
underlie,outcome,L,0.1
underlie,victory,L,0.1
underlie,magazine,L,0.1
underlie,paper,L,0.1
underlie,press,L,0.1
underlie,edition,L,0.1
underlie,success,L,0.1
underlie,triumph,L,0.1
underlie,heat,L,0.1
underlie,newspaper,L,0.1
underlie,behaviour,L,0.1
underlie,response,L,0.1
underlie,explanation,L,0.1
underlie,times,L,0.1
underlie,limit,L,0.1
underlie,restriction,L,0.1
underlie,religion,L,0.1
underlie,literature,L,0.1
underlie,discipline,L,0.1
underlie,discourse,L,0.1
underlie,skill,L,0.1
underlie,insider,L,0.1
underlie,ball,L,0.1
underlie,current,L,0.1
underlie,strategy,L,0.1
underlie,introduction,L,0.1
underlie,kick,L,0.1
underlie,arrow,L,0.1
underlie,stroke,L,0.1
underlie,bullet,L,0.1
underlie,punch,L,0.1
underlie,bomb,L,0.1
underlie,shell,L,0.1
underlie,blow,L,0.1
underlie,shot,L,0.1
underlie,television,L,0.1
underlie,wave,L,0.1
underlie,carriage,L,0.1
underlie,technique,L,0.1
underlie,coach,L,0.1
underlie,taxi,L,0.1
underlie,solution,L,0.1
underlie,proof,L,0.1
underlie,value,L,0.1
underlie,population,L,0.1
underlie,index,L,0.1
underlie,percentage,L,0.1
underlie,tide,L,0.1
underlie,number,L,0.1
underlie,total,L,0.1
underlie,directive,L,0.1
underlie,statute,L,0.1
underlie,yard,L,0.1
underlie,resolution,L,0.1
underlie,fraction,L,0.1
underlie,majority,L,0.1
underlie,volume,L,0.1
underlie,amount,L,0.1
underlie,average,L,0.1
underlie,constraint,L,0.1
underlie,breeze,L,0.1
underlie,clause,L,0.1
underlie,bike,L,0.1
underlie,vehicle,L,0.1
underlie,train,L,0.1
underlie,truck,L,0.1
underlie,lorry,L,0.1
underlie,motion,L,0.1
underlie,legislation,L,0.1
underlie,weather,L,0.1
underlie,storm,L,0.1
underlie,flood,L,0.1
underlie,rain,L,0.1
underlie,amendment,L,0.1
underlie,bill,L,0.1
underlie,regulation,L,0.1
underlie,constitution,L,0.1
underlie,drama,L,0.1
underlie,play,L,0.1
underlie,movie,L,0.1
underlie,film,L,0.1
underlie,video,L,0.1
underlie,wind,L,0.1
underlie,punishment,L,0.1
underlie,sanction,L,0.1
underlie,penalty,L,0.1
underlie,doorway,L,0.1
underlie,dimension,L,0.1
underlie,side,L,0.1
underlie,landing,L,0.1
underlie,terrace,L,0.1
underlie,entrance,L,0.1
underlie,week,L,0.1
underlie,month,L,0.1
underlie,honour,L,0.1
underlie,left,L,0.1
underlie,living,L,0.1
underlie,year,L,0.1
underlie,connection,L,0.1
underlie,experience,L,0.1
underlie,mechanism,L,0.1
underlie,insight,L,0.1
underlie,element,L,0.1
underlie,component,L,0.1
underlie,expertise,L,0.1
underlie,relationship,L,0.1
underlie,favour,L,0.1
underlie,link,L,0.1
underlie,corner,L,0.1
underlie,park,L,0.1
underlie,release,L,0.1
underlie,rejection,L,0.1
underlie,discretion,L,0.1
underlie,influence,L,0.1
underlie,resignation,L,0.1
underlie,appointment,L,0.1
underlie,return,L,0.1
underlie,removal,L,0.1
underlie,withdrawal,L,0.1
underlie,middle,L,0.1
underlie,replacement,L,0.1
underlie,characteristic,L,0.1
underlie,feature,L,0.1
underlie,front,L,0.1
underlie,platform,L,0.1
underlie,retirement,L,0.1
underlie,closure,L,0.1
underlie,circle,L,0.1
underlie,edge,L,0.1
underlie,square,L,0.1
underlie,discovery,L,0.1
underlie,formula,L,0.1
underlie,possession,L,0.1
underlie,knowledge,L,0.1
underlie,pavement,L,0.1
underlie,surface,L,0.1
underlie,culture,L,0.1
underlie,curriculum,L,0.1
underlie,heap,L,0.1
underlie,mess,L,0.1
underlie,pile,L,0.1
underlie,heel,L,0.1
underlie,grave,L,0.1
underlie,bottom,L,0.1
underlie,soil,L,0.1
underlie,english,L,0.1
underlie,writing,L,0.1
underlie,arrest,L,0.1
underlie,media,L,0.1
underlie,qualification,L,0.1
underlie,limitation,L,0.1
underlie,science,L,0.1
underlie,language,L,0.1
underlie,medicine,L,0.1
underlie,grass,L,0.1
underlie,crown,L,0.1
underlie,gold,L,0.1
underlie,factor,L,0.1
underlie,variable,L,0.1
underlie,title,L,0.1
underlie,links,L,0.1
underlie,contact,L,0.1
underlie,friendship,L,0.1
underlie,relation,L,0.1
underlie,procedure,L,0.1
underlie,method,L,0.1
