verb,cluster,id,status,text
absorb,literal,wsj45:10223,N,"First Federal was then to absorb several other troubled thrifts in federally assisted mergers , as part of the Federal Savings and Loan Insurance Corp. 's so-called Southwest Plan to rescue the many ailing savings and loans based in the region "
absorb,literal,wsj45:1719,N,"The pension agency , which had briefly absorbed LTV 's $ 2 billion pension shortfall , subsequently returned responsibility for the plans to the steelmaker "
absorb,literal,wsj46:6709,N,"Previously , Olivetti refused to make such cuts , forcing AT & T 's computer business to absorb the shortfalls "
absorb,literal,wsj51:2139,N,But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division 
absorb,literal,wsj52:4835,N,"Equally important , his Socialist government absorbed and then , in effect , destroyed the French Communist Party "
absorb,literal,wsj54:9202,N,Reserving enables banks to absorb losses on bad credits 
absorb,literal,wsj55:7849,N,"One can not help but be absorbed by portions of Mr. Bouwsma 's diligent labor , but readers should be warned that the Calvin of this book is presented not as a dramatic heretic , but as a rather schematic schismatic "
absorb,literal,wsj56:3867,N,"DESPITE A modest rise in sales of luxury units , Miami 's glut of condominiums is n't expected to be absorbed for three years , according to RealData Information Systems , a local consultant "
absorb,literal,wsj57:3516,N,"Mr. Thunberg of Ried Thunberg said the Fed has `` aggressively '' absorbed reserves over each of the past three days , creating some confusion about its intentions "
absorb,literal,wsj59:7837,N,Canadian National said that Canadian Pacific Hotels agreed to maintain all existing labor contracts and pension benefits and to absorb all of CN Hotels ' current employees 
absorb,literal,wsj65:10113,N,"Under the proposed merger , Wheelabrator Technologies will absorb Waste Management 's Tampa , Fla . , incinerator and three other waste-to-energy projects the company has under development in Broward County , Fla . ; Dakota County , Minn . ; and Falls Township , Pa "
absorb,literal,wsj65:5995,N,"But Korea 's booming economy can absorb them , economists say "
absorb,literal,wsj65:927,N,Equity capital is the clearest picture of a bank 's net worth and its ability to absorb additional losses 
absorb,literal,wsj66:4078,N,It said it expects to absorb `` the vast majority '' of those jobs in its private health-care business 
absorb,literal,wsj68:10049,N,"If the latest auditors ' recommendation is adopted , Illinois Power could add $ 1.84 billion to its rate base , but apparently would have to absorb the balance "
absorb,literal,wsj69:9000,N,This cost has been absorbed by me in the hope that the FDA would reward my efforts with its favor 
absorb,literal,wsj72:3041,N,"For Koppers , selling off part of its construction-materials business is seen as crucial , because no matter how it decides to improve upon Beazer 's bid , it is likely to absorb considerable debt "
absorb,literal,wsj72:7639,N,But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division 
absorb,literal,wsj73:10273,N,"Equally important , his Socialist government absorbed and then , in effect , destroyed the French Communist Party "
absorb,literal,wsj73:4183,N,"The plan calls for Ferruzzi Finanziaria , the family holding company that controls the Ferruzzi-Montedison group and is now closely held , to absorb Iniziativa Me.T.A. unit in a stock swap "
absorb,literal,wsj80:1126,N,"E.F. HUTTON & CO.: Now in the process of being absorbed by Shearson Lehman Brothers , Hutton does n't seem to have picked stocks as well as Shearson did "
absorb,literal,wsj80:4482,N,"Montedison 's Iniziativa Me.T.A. unit , which Ferruzzi is to absorb in its restructuring , dropped 7.2 % to 8 , 310 lire "
absorb,literal,wsj80:6829,L,"Vitamins could be passed right out of the body without being absorbed , '' he says "
absorb,literal,wsj81:4873,N,"The court ruled , however , that the trust will now have to absorb more of that cost "
absorb,literal,wsj82:10587,N,"He added: `` There is so much space out there that people are making deals at good prices , absorbing space "
absorb,literal,wsj03:10607,U,"According to one theory , the market was still trying to absorb the two large computer-generated sell programs that passed through the market Wednesday "
absorb,literal,wsj04:6510,U,"Next year it will open a $ 125 million paper manufacturing plant in Greensboro , N.C . , and the Tokyo firm wants a ready market to absorb the additional capacity "
absorb,literal,wsj04:7505,U,"New tenants in Chicago usually demand a period of free rent and significant physical improvements , costs which Sears will probably have to absorb "
absorb,literal,wsj04:7743,U,"But by contrast with other nuclear plants whose power is quickly absorbed in the high-demand areas they serve , this nuclear plant has brought so much generating capacity to sparsely populated New Mexico -LRB- 1.4 million residents in 121 , 000 square miles -RRB- that it wo n't be needed until the year 2000 "
absorb,literal,wsj05:1584,U,"Traders believe the market can absorb the flood , but it appears to be pushing up yields "
absorb,literal,wsj06:4131,U,Most such disputed charges that go unpaid are absorbed by the card-issuing bank 
absorb,literal,wsj09:9943,U,"With the latest quarterly deficit , MCorp 's capital base , which represents its ability to absorb further losses , will be a slender $ 131 million of common equity , or $ 304 million in total shareholder equity , including two issues of preferred stock "
absorb,literal,wsj10:3881,U,Some businesses are better able to absorb price increases these days 
absorb,literal,wsj10:5541,U,"Apparently , the manner in which the market absorbed the large quantity , estimated at about 200 , 000 tons , has encouraged demand for futures contracts , '' he said "
absorb,literal,wsj10:6987,U,"Instead , the bill calls for the FADA 's operations to be liquidated or absorbed into the Bank Board 's insurance arm , the Federal Savings and Loan Insurance Corp "
absorb,literal,wsj10:9165,U,"The belief is that this quantity has been absorbed by the market and that the Ivory Coast might want to back off as a seller for a while , '' he said "
absorb,literal,wsj11:853,U,"Jerald D. Hitzemann , Carter 's research director , believes the market can handle all that activity , noting that about 2.8 million square feet of new space was absorbed in the first half of the year "
absorb,literal,wsj12:9351,U,"In particular , businesses with five or fewer employees , those exempted under the law , may avoid adding employees to the payroll or choose to absorb the less-costly penalties for not offering health insurance "
absorb,literal,wsj14:2131,U,"Paradoxically , the market that absorbed most of the dumping in the fourth quarter was Tokyo "
absorb,literal,wsj15:742,U,"Also , baseball owners contend that broadcast companies tend to drive up player salaries because they can afford to absorb operating losses on the baseball team "
absorb,literal,wsj15:960,U,Hopkins & Sutter also has a Washington office and in July absorbed Washington-based Hamel & Park into that operation 
absorb,literal,wsj17:3013,U,"But polyester does n't absorb moisture , so permanent-press clothes are n't as cool as those made from all-cotton fibers "
absorb,literal,wsj17:5289,U,They offer a way to absorb extra white-collar workers whom companies feel obliged to retain under lifetime employment practices 
absorb,literal,wsj17:6188,U,It got the government to absorb half the cost and paid back the favor by offering federal agencies discount rates on its tracking service 
absorb,literal,wsj17:6897,L,"New Pig Corp . , Tipton , Pa . , offers a hot-dog-shaped sponge that absorbs polluting liquids around factory machines "
absorb,literal,wsj18:1977,U,Panhandle said it would absorb half the cost of the settlements 
absorb,literal,wsj18:6958,U,"Their Northern European ancestors had to adapt to a climate where sunny days were few and short and it was important for the skin to absorb sunlight to produce vitamin D. Thus , light-skinned people have a type of melanin that builds up only after the skin is threatened by repeated sunburn and fades quickly when the threat diminishes "
absorb,literal,wsj18:6996,L,Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight 
absorb,literal,wsj18:7738,U,The world oil glut that has kept gasoline prices low and bank-failure rates high will therefore be extended -- perhaps for years but surely for however long it takes for world-wide demand to absorb the new Iraqi production 
absorb,literal,wsj19:10773,L,"The fatty deposits have a yellowish hue and therefore absorb more of the yellow laser energy than the surrounding , almost colorless artery wall "
absorb,literal,wsj19:6417,U,"And now that the baby boom has been absorbed into the work force , slower labor force growth appears certain to lie ahead "
absorb,literal,wsj22:11256,U,The country absorbed them 
absorb,literal,wsj22:1140,U,"Puma posted a loss of 73 million marks for 1987 , of which Mr. Dassler absorbed 40.5 million marks by waiving repayment on a personal loan to the company his father founded 40 years ago "
absorb,literal,wsj23:10419,U,"That 's because one of the ways the SBA `` rewards '' the 162 of its 7 , 000 lenders who have gained the preferred status is by having them absorb more of the loss if their loans turn sour "
absorb,literal,wsj24:9054,U,He thinks some of the shock can be absorbed by retraining and welfare 
absorb,literal,wsj26:1711,U,"Its economy remains so robust that it can absorb much punishment before problems get serious , as they might in a recession "
absorb,literal,wsj27:4959,U,"The composite stock price index should remain between 650 points and 700 points , due to the expected unbalance of demand and supply , unless a measure to absorb the excess supply works out , '' said Lee Jung-ja , an analyst at W.I. Carr Securities Co "
absorb,literal,wsj28:462,U,"Stocks `` can absorb '' interest-rate rises as long as they are n't viewed as a panic step , says Charles Larkum , an analyst at James Capel & Co "
absorb,literal,wsj32:2604,U,"The reason for Daimler-Benz 's reluctance is that it has enough problems of its own , without absorbing those of aerospace group MBB , through which West Germany owns 37.9 % of Airbus Industrie , the money-draining European airline consortium "
absorb,literal,wsj32:2605,U,Bonn has been trying for a year to persuade Daimler-Benz to absorb MBB 
absorb,literal,wsj33:3375,U,"Reese Harasawa , manager of the strategic planning division at Mitsubishi Bank Ltd "
absorb,literal,wsj33:6763,U,And there can be little question that massive new inflows would make it even more unlikely that these immigrants would be absorbed into the cultural framework of traditional France and West Germany 
absorb,literal,wsj35:7090,U,"In the filing made Wednesday , the company proposed to absorb 25 % of its obligations , which resulted in the charge "
absorb,literal,wsj37:1518,U,"On the narrow issue at hand , several European nations would like NATO simply to absorb the cost of relocating the F-16s by using a special joint `` infrastructure fund , '' designed to finance $ 11 billion of NATO construction projects between 1985 and 1990 "
absorb,literal,wsj38:10314,L,"Mr. Filisko says his fluids do n't rely on absorbed water , and perform better as temperatures rise "
absorb,literal,wsj39:8385,U,"Increasingly these adults are being absorbed into the mainstream of college education , '' rather than segregated in night school or special programs , says Carol Aslanian , director of the office of adult learning services "
absorb,literal,wsj41:4438,U,"Some people feel it was bearish because it was n't regular sugar and absorbed a large chunk of demand , '' he said "
absorb,literal,wsj43:6276,U,"Such regulatory reviews result in electricity consumers absorbing , though higher bills , only those costs that have been efficiently or `` prudently '' incurred "
absorb,literal,wsj43:894,U,"Despite the absence of headline-grabbing violence , and the ability of the Korean economy to absorb large wage boosts , the strikes this spring nevertheless raise concern , as they will establish the practices and procedures for the future of Korean labor-management relations "
absorb,literal,wsj43:904,U,"But Korea 's booming economy can absorb them , economists say "
absorb,literal,wsj43:9277,U,In 1979 the federal government absorbed 20.5 % of our gross national product ; by 1986 that had increased to 23.8 % 
absorb,literal,wsj44:10866,U,"Gordon Adams , director of a nonpartisan research organization called the Defense Budget Project , says that if the economy at that time is moving ahead as it is now , the loss of defense jobs probably would have `` zero '' effect on overall employment rates as workers are absorbed elsewhere "
absorb,literal,wsj44:11156,U,Traders emphasized that the market was able to absorb some of the damage from the exchange-listed stocks ' fall because many small investors were n't around to sell 
assault,nonliteral,wsj08:9070,U,"On Tuesday , AIDS demonstrators assaulted the headquarters building of the Food and Drug Administration outside Washington "
assault,nonliteral,wsj11:7585,U,At least six people were assaulted 
assault,nonliteral,wsj12:5684,U,"After all , consider the underlying facts: An innocent , if slightly vapid , college student is forced to wear a blindfold for two months ; she 's never left alone , not even to go to the bathroom ; she 's raped , then assaulted with ludicrous rhetoric informing her that sex is revolutionary activity "
assault,nonliteral,wsj12:6653,N,The scenes two weeks ago of ordinary people in Krasnoyarsk verbally assaulting Mikhail Gorbachev because of the shortage of goods in the shops reflect how deep popular disappointment is over the results of `` perestroika '' thus far 
assault,nonliteral,wsj12:9511,N,The bill admits that the key to winning the drug war is assaulting the demand side 
assault,nonliteral,wsj32:4480,N,"For the past 10 years the House Subcommittee on Africa , first under Stephen Solarz -LRB- D . , N.Y. -RRB- and now under Howard Wolpe -LRB- D . , Mich. -RRB- , has annually assaulted White House requests for aid appropriations "
assault,nonliteral,wsj37:3233,U,Hezbollah fighters assaulted the last stronghold of pro-Iranian militiamen in the Shiite Moslem slums of southern Beirut as more than two weeks of fighting continued 
assault,nonliteral,wsj46:10741,N,"BEST -- Baker: Attempted in each post to make government function using , not assaulting , the democratic process "
assault,nonliteral,wsj53:5696,U,"Mr. Guez was indicted last week by a federal grand jury , which charged him with assaulting , resisting and interfering with U.S. marshals in their attempt to seize the records "
assault,nonliteral,wsj54:7025,U,"Opponents assaulted the demonstrators with rocks , dirty dishwater and racial epithets "
assault,nonliteral,wsj62:1462,U,"U.S. policy has allowed effective control of the strait to pass into the hands of a few small warships and a flotilla of outboards while our Navy , present in overwhelming force , has the humiliating role of witnessing unarmed merchantmen being murderously assaulted in international waters "
assault,nonliteral,wsj64:481,U,But here again investor confidence -- and particularly the confidence of foreign investors -- was being assaulted almost daily with news of the budgetary circus in Congress and the congressional war against the Reagan administration 
assault,literal,wsj26:3827,L,"For example , he carefully steered clear of controversies such as New York 's Tawana Brawley case , where some rabble-rousing lawyers are charging that a young black woman was assaulted and raped by whites "
assault,literal,wsj37:4051,L,"Last year , the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20-year-old American woman has a 72 % chance of being raped , robbed or assaulted in her lifetime "
assault,literal,wsj80:4210,L,"Among the tantrums he admits: heaving a faulty phone across the control room , kicking in a TV screen to force NBC to buy a new one , and assaulting construction workers who were too noisy during taping "
assault,literal,wsj13:7744,U,"And when basic democratic rights are assaulted by an employer , a worker finds it awfully hard to comprehend how their well-being is necessarily tied to that of their current employer "
assault,literal,wsj15:2850,L,Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife 
assault,literal,wsj27:8613,U,"Will Rogers , who assaulted the White House with humor on his radio programs and in his newspaper columns of the 1920s and '30s , might have put it this way: When it comes to criticizing one another , presidents are as human as the rest of us , only more so "
assault,literal,wsj35:3936,L,"He was detained on June 23 , and for two weeks he was regularly assaulted by South African police "
assault,literal,wsj38:1392,L,"John Gil , a San Diego landlord , and Mike Black , an apartment manager , were sued in state Superior Court in San Diego by a tenant who was assaulted by a pet monkey owned by two other renters "
assault,literal,wsj38:3910,L,"Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly assaulting a deputy U.S. marshal who tried to seize Sasson records last year at the posh $ 5.5 million Manhattan townhouse where Mr. Guez once resided "
assault,literal,wsj38:7142,U,He insults guests -- `` Zip it ! `` -- and has assaulted at least one of them 
assault,literal,wsj40:4540,U,"Mr. LaFree noted that the sentencing disparities were substantial: `` Black men accused of assaulting black women accounted for 45 % of all reported cases , but for only 26 % of all men sentenced to the state penitentiary and for only 17 % of all men who received sentences of six or more years "
assault,literal,wsj44:3989,U,"Tshekedi , whose people were complaining that their daughters were n't safe -LRB- an interesting twist given the amount of fretting whites in Africa have done about their daughters ' safety -RRB- , ordered McIntosh flogged -- McIntosh had assaulted an African who had insulted McIntosh 's African girlfriend "
assault,literal,wsj53:10090,U,"Mr. Coakley was given a prison term on charges of breaking into an apartment where a couple was in bed watching television , assaulting the man , and then blindfolding and raping the woman "
assault,literal,wsj54:9087,U,"She says six white men , including one wearing a police badge , kidnaped , beat and sexually assaulted her "
assault,literal,wsj57:7687,U,"One recent morning , as Chicago 's winter wind was assaulting the streets , nine homeless men and women decided to move into vacant apartments at a large public-housing project here "
assault,literal,wsj59:50,U,It was no mugger who assaulted the elderly woman 
attack,nonliteral,wsj06:1068,N,"Then two industry trade groups sued the state , attacking the lemon law 's constitutionality "
attack,nonliteral,wsj07:1228,N,"And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman , hot to debunk , attacks his subject "
attack,nonliteral,wsj10:10431,N,Bright Shining Lie '' will be attacked by those who have trimmed their judgments to this decade 's prevailing winds 
attack,nonliteral,wsj14:5140,N,"The approach is raising eyebrows in the cigarette industry , which generally refrains from attacking the competition by name "
attack,nonliteral,wsj18:7295,N,"Their report , to be published here Saturday in the Lancet , a leading British medical journal , immediately was attacked by some radiation specialists as too optimistic "
attack,nonliteral,wsj24:6748,N,"On the stage , looking tired from ceaseless concertizing at just about every summer festival there is , Vladimir Feltsman attacked his recital program with typical confidence and power "
attack,nonliteral,wsj25:7307,N,"Recriminations already are beginning to fly in Israel as Foreign Minister Shimon Peres , who hopes to be Israel 's next prime minister , attacks the present one for lost opportunities to make peace while Iraq was distracted "
attack,nonliteral,wsj28:3020,N,"He returned to attack bats , helmets and pitched balls with equal gusto -LRB- he 's in the league 's Top 10 in five offensive categories -RRB- , and gave the club a needed injection of esprit "
attack,nonliteral,wsj30:8808,N,"If so , human cells may also make similar proteins -- potentially confusing immune cells that target foreign stress proteins and inducing them to attack a person 's own cells "
