Verb,Noun,Labels
pump,sale,['N']
fix,percentage,['N']
destroy,trust,['N']
pump,10,['L']
stick,GM,['N']
miss,cheese,['L']
target,some,['N']
flood,yard,['L']
plant,mine,"['N', 'N']"
examine,individual,['L']
destroy,base,"['L', 'L']"
kill,them,['L']
rest,base,['N']
examine,practice,['N']
absorb,technology,['N']
absorb,adult,['L']
kick,pro,['N']
pour,paper,['N']
destroy,target,['L']
eat,cracker,['L']
drag,Results,['L']
drink,anything,['L']
stick,they,['N']
fly,fellow,['N']
miss,rigor,['L']
die,death,"['N', 'L']"
flood,newspaper,['N']
drag,him,['L']
attack,platform,['L']
escape,stricture,['N']
grasp,opportunity,['L']
examine,force,"['N', 'N']"
smooth,way,"['N', 'N', 'N', 'L']"
grab,rating,['N']
target,buyer,['N']
examine,incentive,['N']
attack,law,['L']
destroy,stone,['L']
kill,insect,['L']
cool,bit,"['N', 'N', 'N', 'N']"
destroy,ability,"['L', 'L']"
assault,they,"['L', 'L']"
melt,heart,['N']
target,Americans,['N']
examine,bank,['L']
eat,Flakes,['L']
roll,payment,['N']
knock,target,['N']
knock,they,['N']
flood,shop,['L']
dissolve,agent,['L']
target,price,['N']
destroy,hiccup,['N']
absorb,rest,['N']
attack,ticket,['L']
kill,you,['L']
knock,service,['N']
examine,sealife,['L']
kill,boy,"['L', 'L']"
strike,program,['N']
drag,body,['L']
dance,season,['L']
drag,Some,['L']
kill,Boesky,['L']
pump,billion,['N']
drag,rate,['N']
strike,chime,['L']
step,bus,['L']
assault,confidence,['N']
pump,million,['N']
absorb,portion,['N']
fill,sack,['N']
plant,seed,"['N', 'N']"
step,effort,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
destroy,which,"['L', 'L']"
kick,Americans,['N']
absorb,employee,['N']
kill,American,['L']
touch,slide,['L']
target,Embassy,['L']
dissolve,group,"['N', 'L', 'L']"
destroy,plane,['L']
ride,hour,['L']
pour,profusion,['N']
fill,morgue,['L']
absorb,rise,['L']
fix,error,['N']
escape,quota,['N']
assault,House,['L']
destroy,subjectivity,['N']
attack,village,['L']
kick,himself,"['N', 'N']"
miss,boat,"['N', 'N', 'N', 'N']"
eat,what,"['N', 'L']"
strike,compromise,"['L', 'L']"
grasp,idea,['N']
kill,me,['L']
touch,promotion,['L']
ride,donkey,['L']
knock,element,['N']
kill,Palestinians,['L']
escape,blame,['L']
pass,crag,['L']
knock,impediment,['N']
lend,credit,['L']
rain,inch,['L']
cool,spree,['N']
dance,premiere,['N']
pour,$,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
destroy,house,"['L', 'L']"
step,inspection,['N']
absorb,Corp,"['N', 'N']"
target,Japanese,['L']
sleep,most,['L']
eat,pound,['L']
attack,dissent,['N']
touch,administration,['N']
touch,liquor,['L']
kill,average,['L']
step,role,['N']
grab,%,"['N', 'N', 'N', 'L']"
grasp,potential,['N']
fill,what,['N']
absorb,some,"['N', 'L', 'L']"
roll,move,['N']
escape,fear,['N']
grab,ring,['N']
attack,that,['N']
attack,Lie,['N']
roll,him,['N']
miss,factor,['L']
miss,facility,['L']
dissolve,injunction,"['N', 'N', 'L', 'L']"
kick,he,['N']
destroy,men,['N']
absorb,worker,"['L', 'L']"
examine,list,['L']
kill,372,['L']
strike,spacecraft,['L']
target,Majority,['N']
knock,light,['N']
sleep,guest,['L']
strike,stock,['L']
strike,target,"['L', 'L']"
drink,water,"['L', 'L', 'L', 'N']"
eat,lot,['L']
eat,crow,"['N', 'N']"
escape,plane,['L']
eat,kind,['L']
absorb,work,['N']
fill,bottle,['L']
strike,law,"['N', 'N', 'L']"
attack,mentality,['L']
strike,it,"['N', 'L', 'N', 'L']"
besiege,statehouse,['N']
fix,typographical,['L']
grab,seat,['L']
dance,bomba,['L']
destroy,reputation,['N']
fix,field,['N']
melt,wing,['L']
lend,$,"['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
drink,cold,['L']
drink,right,['L']
target,Union,['N']
fix,corroded,['N']
knock,brew,['N']
drag,Ranger,['L']
target,organism,['N']
touch,asset,['L']
target,that,['N']
grab,it,"['N', 'N', 'L', 'L']"
kill,%,['L']
target,SUBSIDIES,['N']
flourish,beneficiary,['L']
step,production,['N']
escape,slump,"['N', 'L']"
drink,it,"['N', 'N', 'L']"
flood,window,['N']
fix,flaw,['L']
escape,invasion,['L']
target,currency,['N']
fly,leg,['L']
miss,impact,['N']
grab,money,['N']
assault,marshal,['L']
fill,it,"['L', 'L']"
touch,material,['L']
fix,ceiling,['L']
pump,rhythm,['N']
destroy,thousand,"['L', 'L']"
kill,seven,['L']
attack,restrictiveness,['N']
destroy,value,['N']
miss,this,['L']
rest,readiness,['N']
smooth,ice,['L']
roll,IRA,['N']
strike,pill,"['N', 'N', 'L']"
roll,loan,['N']
smooth,some,"['N', 'N']"
miss,bus,['L']
touch,jitter,['L']
plant,land,"['N', 'L']"
absorb,supply,['L']
target,requirement,['N']
lend,momentum,['N']
plant,dozen,['N']
escape,Skaggs,['N']
lend,cello,['L']
attack,constitutionality,['N']
touch,bread,['L']
grab,spotlight,['L']
destroy,platform,"['L', 'L']"
destroy,document,"['L', 'L', 'L', 'L']"
grab,arm,['L']
eat,lunch,['L']
drink,drink,['L']
grasp,fact,"['N', 'L', 'L']"
plow,money,"['N', 'N', 'N', 'N', 'L']"
lend,itself,"['N', 'L']"
touch,$,['L']
drag,gold,['N']
destroy,450,['L']
touch,avalanche,['L']
kick,habit,"['N', 'N', 'L']"
fly,kite,['L']
smooth,contact,['N']
destroy,capitalism,['N']
examine,Questions,['N']
lend,fund,"['L', 'L']"
stick,themselves,['N']
roll,concept,['N']
melt,pot,['N']
kick,thing,"['N', 'N', 'N']"
pump,solvent,['L']
step,other,['N']
target,Democrats,['L']
destroy,plant,"['L', 'L', 'L']"
fix,Details,['N']
drink,beer,"['L', 'N', 'N', 'N', 'N', 'L', 'L', 'L', 'L']"
stick,growth,['N']
kick,dirt,['L']
flow,site,['L']
examine,issue,"['N', 'N', 'N', 'L', 'L', 'L']"
fly,weekend,['L']
kick,market,['N']
target,growth,"['N', 'L']"
pump,proceeds,['N']
absorb,shock,['N']
target,three,['N']
knock,stock,"['N', 'N', 'N', 'L', 'L', 'L', 'L']"
escape,schism,['N']
fill,air,['N']
escape,total,['N']
stick,CIT,['N']
sleep,pill,"['L', 'L']"
destroy,file,['L']
destroy,neighborhood,"['N', 'L']"
fill,book,['N']
miss,you,['N']
grasp,nature,['N']
target,California,"['L', 'N']"
fly,hour,"['N', 'L']"
plow,half,['L']
knock,estimate,['L']
touch,selling,['N']
target,stock,"['N', 'N', 'N']"
kick,Arnold,['N']
rest,couple,['N']
examine,option,"['N', 'L']"
kick,celebration,['N']
strike,covenant,['N']
escape,sanction,['N']
kill,anyone,['L']
pump,base,['N']
absorb,announcement,['L']
fill,vacuum,['N']
escape,taint,['L']
step,imbalance,['L']
escape,evaluation,['N']
knock,chimney,['N']
grab,customer,['N']
vaporize,advance,['N']
kill,20,['N']
escape,ceiling,['N']
step,pressure,"['N', 'N', 'N', 'N']"
pump,asset,['N']
lend,le,['L']
absorb,program,['L']
kill,those,['L']
fix,responsibility,['L']
besiege,Co,['N']
kill,Lifland,"['L', 'L']"
kill,teen-ager,['L']
eat,sausage,['L']
ride,boom,['L']
miss,excitement,['N']
sleep,100,['L']
touch,it,"['N', 'L', 'L']"
kill,girl,"['L', 'L']"
grab,station,['N']
examine,woman,['L']
target,200,['N']
touch,chord,"['N', 'N']"
flourish,coast,['L']
fix,that,['L']
kick,idea,['N']
plant,soybean,"['N', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
examine,reliability,['N']
miss,friend,['N']
pour,brew,['L']
attack,King,['L']
plant,all,['N']
escape,law,['L']
step,plane,['L']
cool,fan,['L']
flood,Congress,['N']
pump,chunk,['N']
touch,fear,"['N', 'N']"
stick,that,['N']
flood,district,['N']
plant,seedling,['L']
die,monk,['L']
fill,vacancy,"['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
kill,Jews,"['L', 'L', 'L']"
fix,some,['N']
attack,cook,['N']
step,sideline,"['N', 'L']"
fill,spot,"['L', 'L']"
escape,penalty,['N']
fill,screen,"['N', 'N', 'N']"
strike,ground,['L']
pour,it,"['L', 'L']"
play,piece,['L']
attack,snag,['L']
attack,panel,['N']
examine,kind,['N']
absorb,chili,['N']
ride,carefree,['L']
plant,grass,"['L', 'L']"
pour,lot,['L']
touch,crash,['N']
fix,price,"['L', 'N', 'N', 'N', 'N', 'N', 'L', 'L', 'L', 'L', 'L', 'L']"
fix,other,['N']
touch,bond,['N']
drag,Texaco,['N']
kick,Landau,['N']
knock,pole,['L']
knock,impala,['L']
kill,civilian,"['L', 'L', 'L']"
attack,way,['N']
lend,500,['L']
destroy,them,"['N', 'L', 'N', 'N', 'L']"
kick,ambassador,['N']
attack,prey,['N']
dissolve,Parliament,['N']
absorb,shortfall,"['N', 'N']"
lend,dollar,"['N', 'L', 'L']"
kill,one,"['L', 'L', 'L']"
dance,Twist,['L']
lend,two,['L']
kill,engineer,['L']
smooth,decline,"['N', 'N']"
examine,allegation,['L']
examine,cell,['L']
touch,fund,"['N', 'L']"
miss,Sinatra,['L']
kill,Pierce,['L']
absorb,revenue,['N']
pump,gallon,"['N', 'L']"
fly,class,['L']
flood,Euromarket,['N']
drink,coffee,"['L', 'L']"
plant,acreage,"['L', 'L']"
pump,it,"['N', 'N', 'N']"
grab,120,['L']
step,drive,['N']
grasp,neck,['L']
cool,growth,['N']
play,soccer,['L']
fix,others,['L']
assault,worker,['L']
drag,people,['N']
eat,propeller,['L']
drown,day,['N']
lend,themselves,"['N', 'N', 'N']"
absorb,foot,['L']
destroy,ozone,['L']
knock,female,['N']
pump,bullet,['N']
examine,colon,['L']
flourish,investment,['L']
examine,relation,['L']
wither,pressure,"['N', 'N']"
eat,sumptuously,['N']
step,communication,['L']
drag,FDA,['N']
flood,publication,['N']
plow,resource,['N']
fix,promise,['N']
strike,travel,['L']
attack,ACLU,['N']
drag,floor,['L']
smooth,movement,['N']
plant,spirit,['N']
destroy,clothes,['L']
kill,coalition,['L']
touch,rally,"['L', 'L']"
drown,who,['L']
flood,laboratory,"['N', 'N']"
kick,scandal,['N']
eat,cheese,['L']
drag,nest,['L']
miss,payment,"['L', 'L', 'L', 'L', 'L', 'L', 'L']"
plant,bomb,"['N', 'N', 'N', 'N', 'N', 'N', 'N']"
sleep,center,['N']
escape,sentence,['L']
destroy,foot,['L']
escape,family,['N']
strike,me,"['N', 'N', 'N', 'N', 'L']"
stick,We,"['N', 'N', 'L']"
attack,troop,['L']
fix,defect,"['L', 'L']"
target,inspection,['N']
pour,adviser,['N']
kill,dozen,['L']
absorb,increase,"['N', 'L']"
absorb,bond,['N']
examine,thrift,['L']
fill,900,['L']
grab,gold,['N']
attack,camp,"['L', 'L', 'L']"
eat,bacon,['L']
miss,beat,['L']
pump,won,['L']
escape,detection,['N']
kick,triumphant,['N']
fix,model,['L']
destroy,initiative,['N']
target,family,"['L', 'L']"
cool,inflation,"['N', 'N']"
stick,industry,['N']
plant,paragraph,['N']
pour,rain,"['N', 'N']"
roll,product,['N']
kill,officer,['L']
miss,shot,['L']
pump,Bambi,['N']
miss,Symphony,['L']
destroy,inventory,['L']
grab,sea,['L']
examine,legacy,['N']
destroy,copy,['N']
fly,plane,['L']
examine,Security,['L']
plant,it,"['N', 'N', 'N', 'L', 'L', 'L']"
rain,warhead,['N']
escape,driver,['N']
grasp,quandary,['N']
plow,land,['L']
grab,chunk,['N']
step,advertising,['N']
cool,that,['L']
smooth,tendency,['N']
flood,he,"['N', 'N', 'L']"
destroy,frame,['N']
drink,Pimm,['L']
flood,Office,['N']
attack,grandmother,['L']
fix,system,['N']
rest,attack,['L']
rain,moisture,['N']
eat,produce,['L']
fly,jet,['L']
absorb,firm,['N']
strike,part,['L']
ride,bicycle,"['L', 'L']"
roll,some,"['N', 'L']"
miss,$,['L']
examine,trading,['L']
stumble,home,['L']
kick,summit,['N']
strike,they,['L']
destroy,asset,"['N', 'L']"
pump,anger,['N']
pour,billion,['N']
grab,power,['L']
kick,pedestal,['N']
rest,head,['L']
flood,it,"['N', 'L']"
destroy,Homes,['L']
grab,viewer,['N']
destroy,accident,['L']
drown,official,['L']
escape,fact,['N']
stick,rest,['N']
fly,governor,['L']
fly,mission,['L']
kill,person,"['L', 'L']"
destroy,equivalent,['L']
step,marketing,['N']
drag,essay,['N']
plant,trailer,['N']
cool,iron,['L']
step,drumbeat,['L']
attack,journal,['N']
dissolve,parliament,"['N', 'N', 'L', 'L', 'L', 'L', 'L']"
smooth,peak,['N']
kill,plant,"['L', 'L']"
eat,Book,['L']
destroy,progress,['N']
drag,index,"['N', 'N', 'N', 'N', 'L', 'L']"
stumble,which,['N']
target,acquisition,['N']
examine,approach,['N']
stumble,underwriting,['L']
examine,aspect,"['N', 'N']"
grab,target,['N']
target,city,['N']
stick,sign,['N']
miss,target,['N']
strike,chord,"['N', 'N', 'N', 'N', 'N', 'L']"
target,industry,"['N', 'N', 'L', 'L']"
strike,executive,['L']
assault,liberal,['N']
miss,message,['L']
fill,coffer,['L']
flood,board,['N']
absorb,kind,['N']
absorb,MBB,['L']
kill,Many,['L']
cool,temperature,['L']
fill,Congress,['L']
roll,program,"['N', 'N']"
flood,NASD,['L']
examine,feasibility,"['N', 'N']"
assault,wife,['L']
attack,method,['L']
step,import,['N']
attack,vessel,"['L', 'L']"
smooth,trading,['N']
lend,home,['L']
knock,her,"['L', 'L']"
destroy,equipment,['L']
rest,charge,['N']
examine,link,['N']
destroy,cell,['N']
knock,missile,['N']
fly,color,['N']
fix,attention,['L']
drag,philosopher,['N']
miss,he,['L']
dissolve,marriage,"['N', 'N']"
target,turf,['N']
play,dog,['N']
examine,library,['L']
kick,kind,['N']
pour,tequila,['L']
drown,show,['N']
drag,sale,['N']
rest,Peterson,['L']
drink,bottle,"['N', 'L']"
smooth,deal,['N']
sleep,manager,['N']
touch,Reinsurance,['L']
target,Carter,['L']
fly,all,['L']
kick,signal,['N']
destroy,record,['L']
flood,Kowa,['N']
flow,more,['L']
knock,Symphony,['N']
examine,sample,['L']
roll,cheek,['L']
kill,concept,['N']
fly,mile,"['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
miss,chance,"['N', 'L', 'L']"
dance,samba,"['L', 'L']"
flood,York,"['N', 'N']"
eat,star,['L']
drag,accountant,['L']
absorb,many,"['N', 'N']"
grab,sale,['N']
attack,tanker,"['L', 'L']"
absorb,power,['L']
plant,device,['N']
destroy,it,"['N', 'N', 'N']"
grab,sack,['L']
fly,They,['L']
destroy,PCBs,['L']
lend,name,"['N', 'N']"
strike,company,"['N', 'L']"
assault,he,['L']
assault,building,['N']
step,appearance,['N']
target,person,['N']
ride,attack,['N']
attack,ball,['N']
destroy,codex,['L']
knock,lot,"['N', 'N']"
knock,itself,['L']
knock,value,"['L', 'L']"
target,black,['N']
ride,time,['L']
dissolve,pill,['L']
fill,some,['N']
knock,it,"['N', 'L', 'L']"
lend,other,"['L', 'L']"
stick,finger,['N']
attack,force,['L']
strike,Trainees,['L']
step,implementation,['N']
examine,fairness,['L']
grab,paddle,['N']
strike,pose,['N']
drink,amount,['N']
plow,which,['N']
sleep,hour,"['L', 'L', 'L']"
strike,people,['L']
smooth,problem,"['N', 'N', 'N']"
destroy,Savimbi,['L']
dissolve,tenet,['N']
strike,she,['N']
absorb,four-fifths,['N']
fix,dollar,['N']
examine,fundamental,['N']
dance,day,['N']
step,growth,['N']
examine,work,['L']
fill,report,['N']
strike,center,['L']
examine,compliance,['N']
fly,one,['L']
die,year,"['L', 'L', 'L']"
target,business,"['N', 'N', 'L', 'L', 'L']"
flow,foot,"['L', 'L', 'L', 'L', 'L']"
smooth,source,['N']
escape,controversy,['N']
attack,rate,['N']
knock,base,['N']
lend,overnight,"['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
examine,writing,['L']
escape,drought,"['L', 'L']"
absorb,$,"['N', 'N', 'N', 'N']"
attack,he,['N']
kill,itself,['N']
fill,order,"['N', 'N', 'L', 'L', 'L']"
